,REF_DATE,GEO,DGUID,Class of electricity producer,Type of electricity generation,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,year,Prov
22338,2016-01-01,Quebec,2016A000224,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484820,6.1.10,0.0,,,,0,2016,QC
22358,2016-01-01,Ontario,2016A000235,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174770,7.1.2,3544699.0,,,,0,2016,ON
22360,2016-01-01,Ontario,2016A000235,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174772,7.1.4,8433834.0,,,,0,2016,ON
22363,2016-01-01,Ontario,2016A000235,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484850,7.1.11,1387401.0,,,,0,2016,ON
22364,2016-01-01,Ontario,2016A000235,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174775,7.1.8,1285619.0,,,,0,2016,ON
22365,2016-01-01,Ontario,2016A000235,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v54259610,7.1.9,62903.0,,,,0,2016,ON
22366,2016-01-01,Ontario,2016A000235,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v67408299,7.1.10,0.0,,,,0,2016,ON
22387,2016-01-01,Manitoba,2016A000246,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174789,8.1.2,3028482.0,,,,0,2016,MB
22391,2016-01-01,Manitoba,2016A000246,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484853,8.1.11,14693.0,,,,0,2016,MB
22392,2016-01-01,Manitoba,2016A000246,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v53845224,8.1.8,80424.0,,,,0,2016,MB
22393,2016-01-01,Manitoba,2016A000246,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1061444188,8.1.9,0.0,,,,0,2016,MB
22394,2016-01-01,Manitoba,2016A000246,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484824,8.1.10,0.0,,,,0,2016,MB
22413,2016-01-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174802,9.1.2,294900.0,,,,0,2016,SK
22417,2016-01-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484856,9.1.11,1952335.0,,,,0,2016,SK
22418,2016-01-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174806,9.1.8,61200.0,,,,0,2016,SK
22419,2016-01-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484924,9.1.9,0.0,,,,0,2016,SK
22420,2016-01-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v62783204,9.1.10,0.0,,,,0,2016,SK
22439,2016-01-01,Alberta,2016A000248,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174631,10.1.2,143297.0,,,,0,2016,AB
22443,2016-01-01,Alberta,2016A000248,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484859,10.1.11,7094835.0,,,,0,2016,AB
22444,2016-01-01,Alberta,2016A000248,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174635,10.1.8,435206.0,,,,0,2016,AB
22445,2016-01-01,Alberta,2016A000248,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484927,10.1.9,119.0,,,,0,2016,AB
22446,2016-01-01,Alberta,2016A000248,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v72497746,10.1.10,15725.0,,,,0,2016,AB
22466,2016-01-01,British Columbia,2016A000259,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174647,11.1.2,6282143.0,,,,0,2016,BC
22470,2016-01-01,British Columbia,2016A000259,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484862,11.1.11,656770.0,,,,0,2016,BC
22471,2016-01-01,British Columbia,2016A000259,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484888,11.1.7,0.0,,,,0,2016,BC
22472,2016-01-01,British Columbia,2016A000259,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484899,11.1.8,123453.0,,,,0,2016,BC
22473,2016-01-01,British Columbia,2016A000259,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484930,11.1.9,0.0,,,,0,2016,BC
22474,2016-01-01,British Columbia,2016A000259,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484829,11.1.10,0.0,,,,0,2016,BC
22496,2016-01-01,Yukon,2016A000260,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174662,12.1.2,41076.0,,,,0,2016,YT
22499,2016-01-01,Yukon,2016A000260,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484865,12.1.11,2268.0,,,,0,2016,YT
22500,2016-01-01,Yukon,2016A000260,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174664,12.1.8,2.0,,,,0,2016,YT
22501,2016-01-01,Yukon,2016A000260,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484933,12.1.9,0.0,,,,0,2016,YT
22502,2016-01-01,Yukon,2016A000260,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v99450114,12.1.10,0.0,,,,0,2016,YT
22517,2016-01-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174672,13.1.2,22420.0,,,,0,2016,NT
