,REF_DATE,GEO,DGUID,Class of electricity producer,Type of electricity generation,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,year,Prov
23995,2016-05-01,Yukon,2016A000260,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484865,12.1.11,1699.0,,,,0,2016,YT
23996,2016-05-01,Yukon,2016A000260,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174664,12.1.8,122.0,,,,0,2016,YT
23997,2016-05-01,Yukon,2016A000260,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484933,12.1.9,0.0,,,,0,2016,YT
23998,2016-05-01,Yukon,2016A000260,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v99450114,12.1.10,0.0,,,,0,2016,YT
24013,2016-05-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174672,13.1.2,19823.0,,,,0,2016,NT
24016,2016-05-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484868,13.1.11,48920.0,,,,0,2016,NT
24017,2016-05-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v65654502,13.1.8,1424.0,,,,0,2016,NT
24018,2016-05-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484936,13.1.9,52.0,,,,0,2016,NT
24034,2016-05-01,Nunavut,2016A000262,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174684,14.1.2,0.0,,,,0,2016,NU
24037,2016-05-01,Nunavut,2016A000262,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484871,14.1.11,14873.0,,,,0,2016,NU
24038,2016-05-01,Nunavut,2016A000262,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484904,14.1.8,0.0,,,,0,2016,NU
24039,2016-05-01,Nunavut,2016A000262,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484939,14.1.9,0.0,,,,0,2016,NU
24087,2016-06-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174696,2.1.2,2172538.0,,,,0,2016,NL
24091,2016-06-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484835,2.1.11,107112.0,,,,0,2016,NL
24092,2016-06-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484878,2.1.7,0.0,,,,0,2016,NL
24093,2016-06-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v54257822,2.1.8,12352.0,,,,0,2016,NL
24094,2016-06-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484908,2.1.9,0.0,,,,0,2016,NL
24095,2016-06-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484808,2.1.10,0.0,,,,0,2016,NL
24117,2016-06-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v1059484874,3.1.2,0.0,,,,0,2016,PE
24121,2016-06-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484838,3.1.11,364.0,,,,0,2016,PE
24122,2016-06-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484881,3.1.7,0.0,,,,0,2016,PE
24123,2016-06-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174714,3.1.8,40476.0,,,,0,2016,PE
24124,2016-06-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484911,3.1.9,0.0,,,,0,2016,PE
24125,2016-06-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484811,3.1.10,0.0,,,,0,2016,PE
24143,2016-06-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174721,4.1.2,48131.0,,,,0,2016,NS
24146,2016-06-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484841,4.1.11,546213.0,,,,0,2016,NS
24147,2016-06-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v44174724,4.1.7,1314.0,,,,0,2016,NS
24148,2016-06-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174725,4.1.8,67534.0,,,,0,2016,NS
24149,2016-06-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484914,4.1.9,0.0,,,,0,2016,NS
24150,2016-06-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484814,4.1.10,0.0,,,,0,2016,NS
24169,2016-06-01,New Brunswick,2016A000213,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174736,5.1.2,296736.0,,,,0,2016,NB
24171,2016-06-01,New Brunswick,2016A000213,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174738,5.1.4,252507.0,,,,0,2016,NB
24174,2016-06-01,New Brunswick,2016A000213,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484844,5.1.11,478872.0,,,,0,2016,NB
24175,2016-06-01,New Brunswick,2016A000213,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484885,5.1.7,0.0,,,,0,2016,NB
24176,2016-06-01,New Brunswick,2016A000213,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v53845222,5.1.8,58884.0,,,,0,2016,NB
24177,2016-06-01,New Brunswick,2016A000213,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484917,5.1.9,0.0,,,,0,2016,NB
24178,2016-06-01,New Brunswick,2016A000213,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484817,5.1.10,0.0,,,,0,2016,NB
24200,2016-06-01,Quebec,2016A000224,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174752,6.1.2,14540613.0,,,,0,2016,QC
24202,2016-06-01,Quebec,2016A000224,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174754,6.1.4,,..,,,0,2016,QC
24205,2016-06-01,Quebec,2016A000224,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484847,6.1.11,167349.0,,,,0,2016,QC
24206,2016-06-01,Quebec,2016A000224,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174757,6.1.8,760619.0,,,,0,2016,QC
24207,2016-06-01,Quebec,2016A000224,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484920,6.1.9,178.0,,,,0,2016,QC
24208,2016-06-01,Quebec,2016A000224,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484820,6.1.10,0.0,,,,0,2016,QC
24228,2016-06-01,Ontario,2016A000235,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174770,7.1.2,3086882.0,,,,0,2016,ON
24230,2016-06-01,Ontario,2016A000235,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174772,7.1.4,7282308.0,,,,0,2016,ON
24233,2016-06-01,Ontario,2016A000235,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484850,7.1.11,1258158.0,,,,0,2016,ON
24234,2016-06-01,Ontario,2016A000235,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174775,7.1.8,703837.0,,,,0,2016,ON
24235,2016-06-01,Ontario,2016A000235,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v54259610,7.1.9,237225.0,,,,0,2016,ON
24236,2016-06-01,Ontario,2016A000235,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v67408299,7.1.10,0.0,,,,0,2016,ON
24257,2016-06-01,Manitoba,2016A000246,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174789,8.1.2,2759832.0,,,,0,2016,MB
24261,2016-06-01,Manitoba,2016A000246,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484853,8.1.11,9098.0,,,,0,2016,MB
24262,2016-06-01,Manitoba,2016A000246,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v53845224,8.1.8,72024.0,,,,0,2016,MB
24263,2016-06-01,Manitoba,2016A000246,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1061444188,8.1.9,0.0,,,,0,2016,MB
24264,2016-06-01,Manitoba,2016A000246,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484824,8.1.10,0.0,,,,0,2016,MB
24283,2016-06-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174802,9.1.2,195370.0,,,,0,2016,SK
24287,2016-06-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484856,9.1.11,1640548.0,,,,0,2016,SK
24288,2016-06-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174806,9.1.8,54230.0,,,,0,2016,SK
24289,2016-06-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484924,9.1.9,0.0,,,,0,2016,SK
24290,2016-06-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v62783204,9.1.10,0.0,,,,0,2016,SK
24309,2016-06-01,Alberta,2016A000248,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174631,10.1.2,177870.0,,,,0,2016,AB
24313,2016-06-01,Alberta,2016A000248,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484859,10.1.11,5481417.0,,,,0,2016,AB
24314,2016-06-01,Alberta,2016A000248,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174635,10.1.8,381428.0,,,,0,2016,AB
24315,2016-06-01,Alberta,2016A000248,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484927,10.1.9,194.0,,,,0,2016,AB
24316,2016-06-01,Alberta,2016A000248,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v72497746,10.1.10,15172.0,,,,0,2016,AB
24336,2016-06-01,British Columbia,2016A000259,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174647,11.1.2,5029095.0,,,,0,2016,BC
24340,2016-06-01,British Columbia,2016A000259,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484862,11.1.11,436978.0,,,,0,2016,BC
24341,2016-06-01,British Columbia,2016A000259,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484888,11.1.7,0.0,,,,0,2016,BC
24342,2016-06-01,British Columbia,2016A000259,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484899,11.1.8,92345.0,,,,0,2016,BC
24343,2016-06-01,British Columbia,2016A000259,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484930,11.1.9,0.0,,,,0,2016,BC
24344,2016-06-01,British Columbia,2016A000259,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484829,11.1.10,0.0,,,,0,2016,BC
24366,2016-06-01,Yukon,2016A000260,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174662,12.1.2,28632.0,,,,0,2016,YT
24369,2016-06-01,Yukon,2016A000260,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484865,12.1.11,1508.0,,,,0,2016,YT
24370,2016-06-01,Yukon,2016A000260,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174664,12.1.8,74.0,,,,0,2016,YT
24371,2016-06-01,Yukon,2016A000260,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484933,12.1.9,0.0,,,,0,2016,YT
24372,2016-06-01,Yukon,2016A000260,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v99450114,12.1.10,0.0,,,,0,2016,YT
24387,2016-06-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174672,13.1.2,18075.0,,,,0,2016,NT
24390,2016-06-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484868,13.1.11,40585.0,,,,0,2016,NT
24391,2016-06-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v65654502,13.1.8,2290.0,,,,0,2016,NT
24392,2016-06-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484936,13.1.9,47.0,,,,0,2016,NT
24408,2016-06-01,Nunavut,2016A000262,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174684,14.1.2,0.0,,,,0,2016,NU
24411,2016-06-01,Nunavut,2016A000262,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484871,14.1.11,13839.0,,,,0,2016,NU
24412,2016-06-01,Nunavut,2016A000262,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484904,14.1.8,0.0,,,,0,2016,NU
24413,2016-06-01,Nunavut,2016A000262,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484939,14.1.9,0.0,,,,0,2016,NU
24461,2016-07-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174696,2.1.2,2222679.0,,,,0,2016,NL
24465,2016-07-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484835,2.1.11,76740.0,,,,0,2016,NL
24466,2016-07-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484878,2.1.7,0.0,,,,0,2016,NL
24467,2016-07-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v54257822,2.1.8,13005.0,,,,0,2016,NL
24468,2016-07-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484908,2.1.9,0.0,,,,0,2016,NL
24469,2016-07-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484808,2.1.10,0.0,,,,0,2016,NL
24491,2016-07-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v1059484874,3.1.2,0.0,,,,0,2016,PE
24495,2016-07-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484838,3.1.11,273.0,,,,0,2016,PE
24496,2016-07-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484881,3.1.7,0.0,,,,0,2016,PE
24497,2016-07-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174714,3.1.8,36606.0,,,,0,2016,PE
24498,2016-07-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484911,3.1.9,0.0,,,,0,2016,PE
24499,2016-07-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484811,3.1.10,0.0,,,,0,2016,PE
24517,2016-07-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174721,4.1.2,34819.0,,,,0,2016,NS
24520,2016-07-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484841,4.1.11,614351.0,,,,0,2016,NS
24521,2016-07-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v44174724,4.1.7,1171.0,,,,0,2016,NS
24522,2016-07-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174725,4.1.8,56251.0,,,,0,2016,NS
24523,2016-07-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484914,4.1.9,0.0,,,,0,2016,NS
24524,2016-07-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484814,4.1.10,0.0,,,,0,2016,NS
24543,2016-07-01,New Brunswick,2016A000213,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174736,5.1.2,225252.0,,,,0,2016,NB
24545,2016-07-01,New Brunswick,2016A000213,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174738,5.1.4,485950.0,,,,0,2016,NB
24548,2016-07-01,New Brunswick,2016A000213,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484844,5.1.11,503636.0,,,,0,2016,NB
24549,2016-07-01,New Brunswick,2016A000213,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484885,5.1.7,0.0,,,,0,2016,NB
24550,2016-07-01,New Brunswick,2016A000213,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v53845222,5.1.8,44361.0,,,,0,2016,NB
24551,2016-07-01,New Brunswick,2016A000213,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484917,5.1.9,0.0,,,,0,2016,NB
24552,2016-07-01,New Brunswick,2016A000213,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484817,5.1.10,0.0,,,,0,2016,NB
24574,2016-07-01,Quebec,2016A000224,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174752,6.1.2,15468640.0,,,,0,2016,QC
24576,2016-07-01,Quebec,2016A000224,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174754,6.1.4,,..,,,0,2016,QC
24579,2016-07-01,Quebec,2016A000224,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484847,6.1.11,174734.0,,,,0,2016,QC
24580,2016-07-01,Quebec,2016A000224,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174757,6.1.8,668840.0,,,,0,2016,QC
24581,2016-07-01,Quebec,2016A000224,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484920,6.1.9,183.0,,,,0,2016,QC
24582,2016-07-01,Quebec,2016A000224,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484820,6.1.10,0.0,,,,0,2016,QC
24602,2016-07-01,Ontario,2016A000235,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174770,7.1.2,2819312.0,,,,0,2016,ON
24604,2016-07-01,Ontario,2016A000235,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174772,7.1.4,8209799.0,,,,0,2016,ON
24607,2016-07-01,Ontario,2016A000235,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484850,7.1.11,1842623.0,,,,0,2016,ON
24608,2016-07-01,Ontario,2016A000235,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174775,7.1.8,596773.0,,,,0,2016,ON
24609,2016-07-01,Ontario,2016A000235,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v54259610,7.1.9,224614.0,,,,0,2016,ON
24610,2016-07-01,Ontario,2016A000235,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v67408299,7.1.10,0.0,,,,0,2016,ON
24631,2016-07-01,Manitoba,2016A000246,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174789,8.1.2,3089358.0,,,,0,2016,MB
24635,2016-07-01,Manitoba,2016A000246,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484853,8.1.11,14253.0,,,,0,2016,MB
24636,2016-07-01,Manitoba,2016A000246,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v53845224,8.1.8,54665.0,,,,0,2016,MB
24637,2016-07-01,Manitoba,2016A000246,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1061444188,8.1.9,0.0,,,,0,2016,MB
24638,2016-07-01,Manitoba,2016A000246,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484824,8.1.10,0.0,,,,0,2016,MB
24657,2016-07-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174802,9.1.2,214650.0,,,,0,2016,SK
24661,2016-07-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484856,9.1.11,1686241.0,,,,0,2016,SK
24662,2016-07-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174806,9.1.8,33586.0,,,,0,2016,SK
24663,2016-07-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484924,9.1.9,0.0,,,,0,2016,SK
24664,2016-07-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v62783204,9.1.10,0.0,,,,0,2016,SK
24683,2016-07-01,Alberta,2016A000248,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174631,10.1.2,190938.0,,,,0,2016,AB
24687,2016-07-01,Alberta,2016A000248,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484859,10.1.11,6189356.0,,,,0,2016,AB
24688,2016-07-01,Alberta,2016A000248,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174635,10.1.8,234965.0,,,,0,2016,AB
24689,2016-07-01,Alberta,2016A000248,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484927,10.1.9,218.0,,,,0,2016,AB
24690,2016-07-01,Alberta,2016A000248,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v72497746,10.1.10,13620.0,,,,0,2016,AB
24710,2016-07-01,British Columbia,2016A000259,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174647,11.1.2,5069069.0,,,,0,2016,BC
24714,2016-07-01,British Columbia,2016A000259,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484862,11.1.11,567770.0,,,,0,2016,BC
24715,2016-07-01,British Columbia,2016A000259,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484888,11.1.7,0.0,,,,0,2016,BC
24716,2016-07-01,British Columbia,2016A000259,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484899,11.1.8,81740.0,,,,0,2016,BC
24717,2016-07-01,British Columbia,2016A000259,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484930,11.1.9,0.0,,,,0,2016,BC
24718,2016-07-01,British Columbia,2016A000259,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484829,11.1.10,0.0,,,,0,2016,BC
24740,2016-07-01,Yukon,2016A000260,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174662,12.1.2,28359.0,,,,0,2016,YT
24743,2016-07-01,Yukon,2016A000260,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484865,12.1.11,1874.0,,,,0,2016,YT
24744,2016-07-01,Yukon,2016A000260,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174664,12.1.8,51.0,,,,0,2016,YT
24745,2016-07-01,Yukon,2016A000260,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484933,12.1.9,0.0,,,,0,2016,YT
24746,2016-07-01,Yukon,2016A000260,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v99450114,12.1.10,0.0,,,,0,2016,YT
24761,2016-07-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174672,13.1.2,18315.0,,,,0,2016,NT
24764,2016-07-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484868,13.1.11,38465.0,,,,0,2016,NT
24765,2016-07-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v65654502,13.1.8,1357.0,,,,0,2016,NT
24766,2016-07-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484936,13.1.9,39.0,,,,0,2016,NT
24782,2016-07-01,Nunavut,2016A000262,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174684,14.1.2,0.0,,,,0,2016,NU
24785,2016-07-01,Nunavut,2016A000262,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484871,14.1.11,13402.0,,,,0,2016,NU
24786,2016-07-01,Nunavut,2016A000262,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484904,14.1.8,0.0,,,,0,2016,NU
24787,2016-07-01,Nunavut,2016A000262,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484939,14.1.9,0.0,,,,0,2016,NU
24835,2016-08-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174696,2.1.2,2796808.0,,,,0,2016,NL
24839,2016-08-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484835,2.1.11,88973.0,,,,0,2016,NL
24840,2016-08-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484878,2.1.7,0.0,,,,0,2016,NL
24841,2016-08-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v54257822,2.1.8,11101.0,,,,0,2016,NL
24842,2016-08-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484908,2.1.9,0.0,,,,0,2016,NL
24843,2016-08-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484808,2.1.10,0.0,,,,0,2016,NL
24865,2016-08-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v1059484874,3.1.2,0.0,,,,0,2016,PE
24869,2016-08-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484838,3.1.11,235.0,,,,0,2016,PE
